Designator,Mid X,Mid Y,Rotation,Layer
BATJ2,65.548,10.8405,270.0,top
BATJ4,85.698,8.6405,90.0,top
D1,-50.153172,37.372971,180.0,bottom
D10,-3.948035,29.173995,90.0,bottom
D11,31.51184,28.940292,90.0,bottom
D12,33.77514,27.723342,90.0,bottom
D13,-44.378071,6.007017,90.0,bottom
D14,-25.111588,5.825043,90.0,bottom
D15,-6.004332,9.446911,90.0,bottom
D16,15.095527,12.500375,90.0,bottom
D17,31.887161,9.224846,90.0,bottom
D18,34.298315,5.596742,90.0,bottom
D19,22.447267,-9.000689,90.0,bottom
D2,-25.020601,43.776564,90.0,bottom
D20,42.994399,-14.784393,100.0,bottom
D21,48.379281,-18.973298,30.0,bottom
D22,195.26099,42.718841,90.0,bottom
D23,193.418504,42.736186,90.0,bottom
D24,174.310494,44.011614,90.0,bottom
D25,155.638462,48.041576,90.0,bottom
D26,136.419755,48.485138,90.0,bottom
D27,117.41486,46.062611,90.0,bottom
D28,195.374723,23.737526,90.0,bottom
D29,193.395757,23.788991,90.0,bottom
D3,-6.438802,47.11701,90.0,bottom
D30,157.344467,27.433036,90.0,bottom
D31,155.297261,27.569517,90.0,bottom
D32,120.042107,31.60166,90.0,bottom
D33,114.565158,25.489982,180.0,bottom
D34,195.382305,6.583268,90.0,bottom
D35,193.441251,5.734056,90.0,bottom
D36,174.628582,7.019164,90.0,bottom
D37,155.691927,9.782892,90.0,bottom
D38,136.351515,8.064762,90.0,bottom
D39,117.210139,6.38774,90.0,bottom
D4,-3.879795,47.139757,90.0,bottom
D40,143.807596,2.028907,0.0,bottom
D41,127.039185,-3.383298,70.0,bottom
D42,105.061593,-20.524856,330.0,bottom
D5,31.716561,47.970013,90.0,bottom
D6,33.866127,48.303164,90.0,bottom
D7,-44.673778,24.044342,90.0,bottom
D8,-41.723531,25.295413,90.0,bottom
D9,-6.118066,28.184248,90.0,bottom
J2,56.919,14.5175,0.0,top
J5_8,-52.64325,-1.6945,0.0,top
J5_7,-14.655,-1.6945,0.0,top
J5_6,-14.552,59.7155,0.0,top
J5_5,23.418,59.7155,0.0,top
J5_4,127.938,59.7055,0.0,top
J5_3,165.958,59.7155,0.0,top
J5_2,203.988,-1.7045,0.0,top
J5,165.988,-1.7045,0.0,top
J7,84.148,14.3755,0.0,top
PSW1,69.948,5.9405,90.0,top
PSW2,81.293,5.9405,270.0,top
RSW1,70.023,15.0145,270.0,top
RSW2,81.173,14.868068,270.0,top
SW1,-52.652,45.7655,0.0,top
SW10,4.348,33.8905,0.0,top
SW11,23.348,31.5155,0.0,top
SW12,42.348,29.1405,0.0,top
SW13,-52.652,7.7655,0.0,top
SW14,-33.652,7.7655,0.0,top
SW15,-14.652,12.5155,0.0,top
SW16,4.348,14.8905,0.0,top
SW17,23.348,12.5155,0.0,top
SW18,42.348,10.1405,0.0,top
SW19,13.848,-7.1095,0.0,top
SW2,-33.652,45.7655,0.0,top
SW20,34.848,-9.8595,345.0,top
SW21,57.098,-13.6095,60.0,top
SW22,203.845347,45.765068,0.0,top
SW23,184.845347,45.765068,0.0,top
SW24,165.845347,50.515068,0.0,top
SW25,146.845347,52.890068,0.0,top
SW26,127.845347,50.515068,0.0,top
SW27,108.845347,48.140068,0.0,top
SW28,203.845347,26.765068,0.0,top
SW29,184.845347,26.765068,0.0,top
SW3,-14.652,50.5155,0.0,top
SW30,165.845347,31.515068,0.0,top
SW31,146.845347,33.890068,0.0,top
SW32,127.845347,31.515068,0.0,top
SW33,108.845347,29.140068,0.0,top
SW34,203.845347,7.765068,0.0,top
SW35,184.845347,7.765068,0.0,top
SW36,165.845347,12.515068,0.0,top
SW37,146.845347,14.890068,0.0,top
SW38,127.845347,12.515068,0.0,top
SW39,108.845347,10.140068,0.0,top
SW4,4.348,52.8905,0.0,top
SW40,137.345347,-7.109932,0.0,top
SW41,116.345347,-9.859932,15.0,top
SW42,94.095347,-13.609932,300.0,top
SW5,23.348,50.5155,0.0,top
SW6,42.348,48.1405,0.0,top
SW7,-52.652,26.7655,0.0,top
SW8,-33.652,26.7655,0.0,top
SW9,-14.652,31.5155,0.0,top
U1,62.053,35.1255,0.0,top
U2,89.012977,35.019466,0.0,top
